Tabelle: 12241-9002
EU-SILC - Erfasste und hochgerechnete Personen ab 16 Jahren,;;;;;
Nettoäquivalenzeinkommen, Armutsgefährdungsquote:;;;;;
Deutschland, Jahre (bis 2019), Erwerbsstatus;;;;;
Einkommen und Lebensbedingungen (EU-SILC);;;;;;;;;
Deutschland;;;;;;;;;
;;Erfasste Personen ab 16 Jahren;;Hochgerechnete Personen ab 16 Jahren;;Nettoäquivalenzeinkommen (Median) v.Pers. ab 16 J.;;Armutsgefährdungsquote von Personen ab 16 Jahren;
;;Anzahl;Anzahl;1000;1000;EUR/Jahr;EUR/Jahr;Prozent;Prozent
2019;Erwerbstätige;10617;e;38868;e;25937;e;8,1;e
;Nichterwerbstätige;10199;e;30320;e;19317;e;24,5;e
;Arbeitslose;491;e;2113;e;10703;e;73,8;e
;Rentner und Pensionäre;6854;e;17042;e;20017;e;18,4;e
;Sonstige Nichterwerbstätige;2854;e;11164;e;19622;e;24,5;e
;Insgesamt;20899;e;69509;e;22913;e;15,3;e
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 04.11.2025 / 00:16:09
