Zeit;Kanal A
(ms);(mV)

-25,00874905;1,30536413
-25,00374905;0,93196356
-24,99874905;0,74557084
-24,99374905;1,30536413
-24,98874905;0,93196356
-24,98374905;0,93196356
-24,97874905;0,74557084
-24,97374905;0,37278542
-24,96874905;0,18639271
-24,96374905;0,55917817
-24,95874905;0,18639271
-24,95374905;0,18639271
-24,94874905;-0,37278542
-24,94374905;-0,18639271
-24,93874905;-1,30536413
-24,93374905;-1,11897147
-24,92874905;-1,30536413
-24,92374905;-1,67814958
-24,91874905;-1,11897147
-24,91374905;-2,79712105
-24,90874905;-3,91609240
-24,90374905;-2,23794293
-24,89874905;-2,61072826
-24,89374905;-2,61072826
-24,88874905;-3,17052150
-24,88374905;-3,35691428
-24,87874905;-3,17052150
-24,87374906;-3,17052150
-24,86874906;-3,35691428
-24,86374906;-3,17052150
-24,85874906;-3,17052150
-24,85374906;-2,98351359
-24,84874906;-2,79712105
-24,84374906;-3,35691428
-24,83874906;-2,61072826
-24,83374906;-2,42433548
-24,82874906;-2,42433548
-24,82374906;-2,42433548
-24,81874906;-2,61072826
-24,81374906;-3,17052150
-24,80874906;-2,98351359
-24,80374906;-3,35691428
-24,79874906;-4,47588587
-24,79374906;-4,47588587
-24,78874906;-5,22207165
-24,78374906;-5,78124952
-24,77874906;-6,34104300
-24,77374906;-5,96764231
-24,76874906;-6,71382856
-24,76374906;-6,34104300
-24,75874906;-6,90022135
-24,75374906;-6,52743578
-24,74874906;-6,34104300
-24,74374906;-5,78124952
-24,73874906;-5,78124952
-24,73374906;-5,40846395
-24,72874906;-4,28949261
-24,72374906;-3,91609240
-24,71874906;-3,17052150
-24,71374906;-3,35691428
-24,70874906;-2,79712105
-24,70374906;-2,42433548
-24,69874906;-2,61072826
-24,69374906;-2,42433548
-24,68874906;-2,61072826
-24,68374906;-2,61072826
-24,67874906;-3,17052150
-24,67374906;-2,79712105
-24,66874906;-2,61072826
-24,66374906;-2,61072826
-24,65874906;-2,23794293
-24,65374906;-2,61072826
-24,64874906;-2,42433548
