Zeit;Kanal A;Kanal B
(ms);(V);(V)

-10,00029423;0,00000000;0,00000000
-10,00009423;0,00000000;0,00000000
-9,99989423;1,03395665;0,00000000
-9,99969423;1,05142713;0,00000000
-9,99949423;1,03395665;0,00000000
-9,99929423;1,03395665;0,00000000
-9,99909423;1,03395665;0,00000000
-9,99889423;1,03395665;0,00000000
-9,99869423;1,03395665;0,00000000
-9,99849423;1,03395665;0,00000000
-9,99829423;1,03395665;0,01747047
-9,99809423;1,03395665;0,00000000
-9,99789423;1,03395665;0,00000000
-9,99769423;1,03395665;0,00000000
-9,99749423;1,03395665;0,01747047
-9,99729423;1,03395665;0,00000000
-9,99709423;1,03395665;0,01747047
-9,99689423;1,03395665;0,00000000
-9,99669423;1,03395665;0,01747047
-9,99649423;1,03395665;0,01747047
-9,99629423;1,03395665;0,01747047
-9,99609423;1,03395665;0,01747047
-9,99589423;1,03395665;0,01747047
-9,99569423;1,03395665;0,01747047
-9,99549423;1,03395665;0,01747047
-9,99529423;1,03395665;0,01747047
-9,99509423;1,03395665;0,01747047
-9,99489423;1,03395665;0,01747047
-9,99469423;1,03395665;0,01747047
-9,99449423;1,03395665;0,01747047
-9,99429423;1,03395665;0,03494094
-9,99409423;1,03395665;0,03494094
-9,99389423;1,03395665;0,03494094
-9,99369423;1,03395665;0,03494094
-9,99349423;1,03395665;0,03494094
-9,99329423;1,03395665;0,03494094
-9,99309423;1,03395665;0,03494094
-9,99289423;1,03395665;0,03494094
-9,99269423;1,03395665;0,03494094
-9,99249423;1,03395665;0,03494094
-9,99229423;1,03395665;0,03494094
-9,99209423;1,03395665;0,05241142
-9,99189423;1,03395665;0,05241142
-9,99169423;1,03395665;0,05241142
-9,99149423;1,03395665;0,05241142
-9,99129423;1,03395665;0,05241142
-9,99109423;1,01642466;0,05241142
-9,99089423;1,03395665;0,05241142
-9,99069423;1,03395665;0,05241142
-9,99049423;1,03395665;0,05241142
-9,99029423;1,03395665;0,06988189
-9,99009423;1,03395665;0,06988189
-9,98989423;1,03395665;0,06988189
-9,98969423;1,03395665;0,06988189
-9,98949423;1,03395665;0,06988189
-9,98929423;1,03395665;0,06988189
-9,98909423;1,03395665;0,06988189
-9,98889423;1,03395665;0,08735237
-9,98869423;1,03395665;0,06988189
-9,98849423;1,03395665;0,08735237
-9,98829423;1,03395665;0,08735237
-9,98809423;1,03395665;0,08735237
-9,98789423;1,03395665;0,08735237
-9,98769423;1,03395665;0,08735237
-9,98749423;1,01642466;0,10482284
-9,98729423;1,03395665;0,10482284
-9,98709423;1,03395665;0,10482284
-9,98689423;1,03395665;0,10482284
-9,98669423;1,03395665;0,10482284
-9,98649423;1,03395665;0,10482284
-9,98629423;1,01642466;0,12229331
-9,98609423;1,03395665;0,12229331
-9,98589423;1,03395665;0,12229331
-9,98569423;1,03395665;0,12229331
-9,98549423;1,03395665;0,12229331
-9,98529423;1,03395665;0,12229331
-9,98509423;1,01642466;0,13976377
-9,98489423;1,03395665;0,12229331
-9,98469423;1,03395665;0,13976377
-9,98449423;1,03395665;0,13976377
-9,98429423;1,01642466;0,15723425
-9,98409423;1,03395665;0,13976377
-9,98389423;1,01642466;0,15723425
-9,98369423;1,03395665;0,13976377
-9,98349423;1,01642466;0,15723425
-9,98329423;1,03395665;0,17470473
-9,98309423;1,01642466;0,17470473
-9,98289423;1,03395665;0,17470473
-9,98269423;1,01642466;0,17470473
-9,98249423;1,01642466;0,17470473
-9,98229423;1,03395665;0,19217519
-9,98209423;1,03395665;0,19217519
-9,98189423;1,01642466;0,19217519
-9,98169423;1,03395665;0,19217519
-9,98149423;1,01642466;0,20964567
-9,98129423;1,03395665;0,20964567
-9,98109423;1,01642466;0,20964567
-9,98089423;1,03395665;0,22711614
-9,98069423;1,01642466;0,20964567
-9,98049423;1,03395665;0,22711614
-9,98029423;1,01642466;0,22711614
-9,98009423;1,03395665;0,22711614
-9,97989423;1,01642466;0,24458662
-9,97969423;1,01642466;0,22711614
-9,97949423;1,01642466;0,24458662
-9,97929423;1,03395665;0,24458662
-9,97909423;1,01642466;0,24458662
-9,97889423;1,01642466;0,26205710
-9,97869423;1,01642466;0,26205710
-9,97849423;1,03395665;0,26205710
-9,97829423;1,01642466;0,26205710
-9,97809423;1,03395665;0,29699802
-9,97789423;1,01642466;0,27952754
-9,97769423;1,01642466;0,27952754
-9,97749423;1,01642466;0,29699802
-9,97729423;1,01642466;0,29699802
-9,97709423;1,01642466;0,29699802
-9,97689423;1,01642466;0,29699802
-9,97669423;1,01642466;0,29699802
-9,97649423;1,03395665;0,31446850
