time; signal
0.000000000000000000e+00;3.494093999999999239e-03
1.999999999988122390e-07;3.843503399999999119e-03
3.999999999993592015e-07;4.192912799999999433e-03
5.999999999999061639e-07;4.542322199999999748e-03
8.000000000004531264e-07;4.891731600000000062e-03
9.999999999992653654e-07;5.241141000000000376e-03
1.199999999999812328e-06;5.939959800000000137e-03
1.400000000000359290e-06;6.638778599999999898e-03
1.599999999999171529e-06;7.337597399999999659e-03
1.799999999999718492e-06;8.036416200000000287e-03
1.999999999998530731e-06;8.735235000000000916e-03
2.200000000000812417e-06;9.434053800000001544e-03
2.399999999999624656e-06;1.013287260000000217e-02
2.600000000000171618e-06;1.083169140000000280e-02
2.800000000000718581e-06;1.153051020000000343e-02
2.999999999999530820e-06;1.222932900000000406e-02
3.200000000000077782e-06;1.292814780000000469e-02
3.399999999998890021e-06;1.397637620000000483e-02
3.600000000001171707e-06;1.502460460000000497e-02
3.799999999999983946e-06;1.607283300000000512e-02
3.999999999998796185e-06;1.712106140000000526e-02
4.199999999999343148e-06;1.816928980000000540e-02
4.399999999999890110e-06;1.921751820000000555e-02
4.600000000000437073e-06;2.026574659999999875e-02
4.799999999999249312e-06;2.131397499999999889e-02
4.999999999999796274e-06;2.236220339999999904e-02
5.200000000000343237e-06;2.375984119999999949e-02
5.399999999999155476e-06;2.515747899999999995e-02
5.599999999999702438e-06;2.655511680000000041e-02
5.799999999998514677e-06;2.795275460000000087e-02
6.000000000000796363e-06;2.935039240000000133e-02
6.199999999999608602e-06;3.074803019999999831e-02
6.400000000000155564e-06;3.214566799999999530e-02
6.600000000000702527e-06;3.389271539999999527e-02
6.799999999999514766e-06;3.529035319999999920e-02
7.000000000000061728e-06;3.703740059999999917e-02
7.199999999998873967e-06;3.843503859999999883e-02
7.400000000001155653e-06;4.018208599999999880e-02
7.599999999999967892e-06;4.192913339999999878e-02
7.800000000000514855e-06;4.367618079999999875e-02
7.999999999999327094e-06;4.542322819999999872e-02
8.199999999999874056e-06;4.751968500000000595e-02
8.400000000000421019e-06;4.926673239999999898e-02
8.599999999999233258e-06;5.136318920000000621e-02
8.799999999999780220e-06;5.311023659999999924e-02
9.000000000000327183e-06;5.485728400000000615e-02
9.199999999999139422e-06;5.695374079999999950e-02
9.399999999999686384e-06;5.905019760000000673e-02
9.599999999998498623e-06;6.114665440000000007e-02
9.800000000000780309e-06;6.324311119999999342e-02
9.999999999999592548e-06;6.533956799999998677e-02
1.020000000000013951e-05;6.743602479999999399e-02
1.039999999999895175e-05;6.988189079999999886e-02
1.059999999999949871e-05;7.197834759999999221e-02
1.080000000000004567e-05;7.442421360000001096e-02
1.099999999999885791e-05;7.687007960000001583e-02
1.120000000000113960e-05;7.931594579999999561e-02
1.139999999999995184e-05;8.141240240000000017e-02
1.160000000000049880e-05;8.385826859999999383e-02
1.179999999999931104e-05;8.595472519999999839e-02
1.199999999999985800e-05;8.840059139999999205e-02
1.220000000000040496e-05;9.119586719999998869e-02
1.239999999999921720e-05;9.399114299999999922e-02
1.259999999999976417e-05;9.678641879999999587e-02
1.280000000000031113e-05;9.958169459999999251e-02
1.299999999999912337e-05;1.023769703999999892e-01
1.319999999999967033e-05;1.055216553999999834e-01
1.339999999999848257e-05;1.083169307999999886e-01
1.360000000000076426e-05;1.111122061999999799e-01
1.379999999999957649e-05;1.139074815999999990e-01
1.400000000000012346e-05;1.170521665999999933e-01
1.419999999999893570e-05;1.201968515999999876e-01
1.439999999999948266e-05;1.233415365999999957e-01
1.460000000000002962e-05;1.268356310000000042e-01
1.479999999999884186e-05;1.299803159999999846e-01
1.500000000000112355e-05;1.334744103999999931e-01
1.519999999999993578e-05;1.366190954000000013e-01
1.540000000000048275e-05;1.397637804000000095e-01
